animal_id,sex,study_site,deploy_on_longitude,deploy_on_latitude,deploy_off_type
NA_car133,f,Narraway,-120.229991709811,55.0632108338247,other
NA_car134,f,Narraway,-120.215851760088,55.0947125783181,other
QU_car136,f,Quintette,-121.341780034048,55.0018346111405,dead
NA_car135,f,Narraway,-120.223371180395,55.0947854390465,other
QU_car140,f,Quintette,-120.872723373751,54.8613597125695,dead
QU_car138,f,Quintette,-120.959530608015,54.8533937196821,removal
QU_car146,f,Quintette,-121.501846954695,55.1655038058366,removal
QU_car142,f,Quintette,-121.345602975211,55.1212152558714,other
QU_car143,f,Quintette,-121.345600375602,55.1212781333209,other
BP_car144,f,Burnt Pine,-122.337822622998,55.4365913615461,other
QU_car139,f,Quintette,-120.907497057844,54.861487633665,other
QU_car141,f,Quintette,-121.345600375602,55.1212781333209,other
QU_car137,f,Quintette,-120.962191834141,54.865806660165,removal
BP_car145,f,Burnt Pine,-122.337822622998,55.4365913615461,dead
MO_car149,f,Moberly,-122.46897938191,55.8565350129663,dead
MO_car147,f,Moberly,-122.945648221464,55.8834019612357,other
MO_car148,f,Moberly,-122.814016785366,55.8106731853855,dead
MO_car151,f,Moberly,-122.590571881263,55.7601109578668,dead
QU_car152,f,Quintette,-121.47112097229,55.1992020354669,dead
MO_car150,f,Moberly,-122.590571881263,55.7601109578668,removal
KE_car153,f,Kennedy,-122.571666852738,55.2575000616327,dead
KE_car154,f,Kennedy,-122.481935392882,55.1922897454182,removal
KE_car157,f,Kennedy,-122.612435700312,55.2927808735437,dead
KE_car156,f,Kennedy,-122.531706428592,55.2331266231269,removal
KE_car155,f,Kennedy,-122.473700979549,55.196118587623,removal
QU_car158,f,Quintette,-121.528188887797,55.2149575344843,dead
MO_car150,f,Moberly,-122.457802664652,55.8630006253716,removal
QU_car146,f,Quintette,-121.528188887797,55.2149575344843,dead
QU_car137,f,Quintette,-121.019117685063,54.8734810474629,removal
QU_car159,f,Quintette,-121.007680498869,54.8892034631875,removal
